N,m_star,m0 train,m_star train,ss train,bptt train,m0 test,m_star test,ss test,bptt test,impr m0 train,impr m0 test
48,10,0.107,0.101,0.165,0.103,0.15,0.146,0.418,0.227,-6,-3
96,14,0.098,0.089,0.16,0.103,0.159,0.149,0.279,0.227,-10,-6
192,20,0.099,0.083,0.152,0.103,0.146,0.144,0.219,0.227,-16,-1
