timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
100,68,1500,100,0.0003,1,8,1,2,98.6,97.64,98.53,0.013276307843625546,0.023073742166161537,0.013172953389585018,98.6,97.64,98.53,20.63102149963379,29.49561882019043,17.36931037902832,0.02921807760372758,0.0037565516619821903,138.79,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,73,1500,100,0.0003,1,8,1,2,98.59,97.46,98.57,0.013299569487571716,0.02501516044139862,0.012840427458286285,98.59,97.46,98.57,19.71311378479004,31.250370025634766,15.986166954040527,0.02736447285860777,0.003562327112865552,145.77,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,78,1500,100,0.0003,1,8,1,2,98.68,97.53,98.65,0.012570574879646301,0.02462516352534294,0.012186802923679352,98.68,97.53,98.65,18.136131286621094,30.45749855041504,14.836197853088379,0.025109237413853406,0.003357900421130753,136.76,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,83,1500,100,0.0003,1,8,1,2,98.83,97.56,98.8,0.011224721558392048,0.02441767416894436,0.010925562120974064,98.83,97.56,98.8,15.793645858764648,29.37845802307129,13.160568237304688,0.022626773566007615,0.0030697782420315884,148.36,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,89,1500,100,0.0003,1,8,1,2,98.84,97.47,98.83,0.011182732880115509,0.025555646046996117,0.010740270838141441,98.84,97.47,98.83,14.597387313842773,29.685688018798828,12.131032943725586,0.020474286153912544,0.003334045625812127,139.56,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,94,1500,100,0.0003,1,8,1,2,98.82,97.49,98.79,0.011463434435427189,0.025659700855612755,0.011203750967979431,98.82,97.49,98.79,14.2376070022583,30.249326705932617,11.991342544555664,0.019355212543159722,0.0034597520674060785,136.18,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,99,1500,100,0.0003,1,8,1,2,98.76,97.49,98.66,0.012008565478026867,0.02565263770520687,0.012460022233426571,98.76,97.49,98.66,15.234926223754883,32.387451171875,13.916638374328613,0.019536837497726084,0.004939460305370954,134.14,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
200,0,1500,100,0.0003,1,8,1,2,99.0,98.68,98.44,0.00970947090536356,0.013302767649292946,0.01462168712168932,99.0,98.68,98.44,13.64795207977295,18.725820541381836,18.936201095581055,0.07410592436790467,0.005764481028246014,134.15,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,5,1500,100,0.0003,1,8,1,2,98.79,98.18,98.17,0.011697581969201565,0.01790827512741089,0.016858043149113655,98.79,98.18,98.17,15.35257625579834,22.20871353149414,20.70250701904297,0.06275890309363603,0.004266628319552716,152.76,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,10,1500,100,0.0003,1,8,1,2,99.0,98.25,98.47,0.009706608019769192,0.017632367089390755,0.014223011210560799,99.0,98.25,98.47,13.421782493591309,22.55021095275879,19.132583618164062,0.055181792788207534,0.0033731599641992553,149.34,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,16,1500,100,0.0003,1,8,1,2,99.28,98.51,99.05,0.007013901136815548,0.015013579279184341,0.008821462281048298,99.28,98.51,99.05,9.380836486816406,23.72801971435547,11.426711082458496,0.045138508193194864,0.0028773083248605684,150.35,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,21,1500,100,0.0003,1,8,1,2,99.32,98.68,99.06,0.006615695543587208,0.013310650363564491,0.008686714805662632,99.32,98.68,99.06,8.841142654418945,21.54738998413086,11.58051586151123,0.03882465466856957,0.002663763739538802,139.45,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
