N,m_star,m0 train,m_star train,ss train,bptt train,m0 test,m_star test,ss test,bptt test,impr m0 train,impr m0 test
48,31,0.3,0.312,0.312,0.152,0.25,0.257,0.772,0.11,4,3
96,75,0.068,0.069,0.203,0.152,0.227,0.184,0.349,0.11,2,-19
192,141,0.02,0.02,0.185,0.152,0.211,0.112,0.092,0.11,-1,-47
