lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
96,54,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.07963529974222183,0.4498793774983147,92.1,3.59,6.20783805847168,86.05872319822907,92.1,-16176.71,0.14361297288537025,0.041432860153341064,228.31,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
96,61,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.06684261560440063,0.46026418496831323,93.37,-8.11,5.210608005523682,95.06034609445929,93.37,-18675.6,0.1233649557866156,0.037904170682237955,222.6,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
96,68,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.08573520183563232,0.4745210667124018,91.5,2.92,6.683348178863525,90.87129549361467,91.5,-16607.74,0.12902124390006064,0.038966072912044784,230.52,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
96,75,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.06880033761262894,0.45193224842709023,93.18,8.14,5.363215923309326,95.36162904014587,93.18,-16797.43,0.10077156295254827,0.03458702057455868,232.15,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
96,81,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.08017145842313766,0.5098425846040482,92.05,-6.7,6.249637603759766,98.25345058624744,92.05,-18386.58,0.09298950303159655,0.03369533407260621,230.11,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
96,88,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.06944558769464493,0.457484774948773,93.11,6.63,5.413514614105225,96.11017123243212,93.11,-16968.32,0.08129694155044853,0.030301163634998306,224.92,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
96,95,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.06997347623109818,0.4836522534160642,93.06,-9.31,5.45466423034668,104.42771554342508,93.06,-20179.12,0.0761369303856045,0.02990465994188229,221.58,185100,2025_12_03-19_26_11,no,LSTM,stateless,cuda,StandardScaler
192,0,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.02593999356031418,0.5231162770329975,97.43,-0.33,2.0221097469329834,94.77820301937462,97.43,-17804.2,0.18169847021996974,0.02561791909289385,298.26,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,10,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.06621573120355606,0.4368438385857269,93.45,13.65,5.161736965179443,97.93630644757748,93.45,-17160.85,0.21095994552969932,0.031201874873055355,314.2,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,20,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.02533542551100254,0.5265322658267105,97.49,-24.28,1.9749804735183716,102.94104406078458,97.49,-21225.29,0.13344525289535522,0.02312172405867554,306.47,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,30,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.0325382724404335,0.5099679908264428,96.78,-11.71,2.5364673137664795,98.99690460339487,96.78,-19670.24,0.13493841157853603,0.03220332952442962,298.05,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,40,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.04950125142931938,0.48741934017348104,95.1,-37.05,3.858790159225464,124.06039160503148,95.1,-25295.34,0.09640333991125226,0.01954943729179427,298.91,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
