N,m_star,m0 train,m_star train,ss train,bptt train,m0 test,m_star test,ss test,bptt test,impr m0 train,impr m0 test
100,21,0.22,0.153,0.541,0.063,0.511,0.488,1.014,0.445,-31,-4
200,36,0.168,0.138,0.514,0.063,0.454,0.476,0.961,0.445,-18,5
500,0,0.135,0.135,0.465,0.063,0.397,0.397,0.875,0.445,0,0
1000,0,0.116,0.116,0.391,0.063,0.372,0.372,0.737,0.445,0,0
