lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
96,48,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.23131859302520752,0.34255645422797115,77.02,46.22,0.0002717372262850404,0.9095900288117783,77.02,-0.81,0.2463899297863245,0.028556237098372024,135.02,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,54,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.23176170885562897,0.3465495979757093,76.98,46.07,0.00027225774829275906,0.910257786645421,76.98,-0.86,0.24465644659101962,0.02865199564020746,131.83,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,61,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2294207662343979,0.34837878358528196,77.21,46.32,0.0002695077855605632,0.9102106088240232,77.21,-0.85,0.24027381855249405,0.028808852201832102,128.63,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,68,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.22882014513015747,0.34890953349725656,77.27,46.29,0.000268802308710292,0.9096671951491209,77.27,-0.8,0.23647497662901878,0.029366074187207655,131.23,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,75,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.22712522745132446,0.36983808271054713,77.44,43.0,0.0002668110828381032,0.9108734461878027,77.44,-0.91,0.23220671924948694,0.02949983691406504,134.27,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,81,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.22904431819915771,0.34815155347543103,77.25,49.02,0.0002690655237529427,0.9111089950782203,77.25,-0.87,0.2339940184354782,0.030013017794248708,134.35,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,88,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2334655523300171,0.3614410290738479,76.81,48.68,0.00027425927692092955,0.911274050841374,76.81,-0.84,0.23681492406129837,0.030471569419186724,129.72,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
96,95,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2540818452835083,0.3754612897677968,74.76,45.97,0.00029847785481251776,0.9122028881240458,74.76,-0.98,0.2430748143196106,0.0313648280797197,126.73,107200,2025_12_03-12_57_48,no,LSTM,stateless,cuda,StandardScaler
192,0,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21390777826309204,0.3135884773063784,78.72,50.79,0.00025128413108177483,0.9073634453295242,78.72,-0.52,0.276828872025013,0.020121396483457822,176.28,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,10,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2112625390291214,0.33931851412413555,78.99,47.83,0.0002481767151039094,0.9088752616108173,78.99,-0.7,0.2565284751057625,0.020136062413099412,179.29,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,20,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.20725254714488983,0.3190120238844039,79.38,51.22,0.00024346598365809768,0.9081019125967509,79.38,-0.59,0.2434849443733692,0.01985157493247096,180.13,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,30,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21019797027111053,0.3024123913264789,79.09,53.46,0.00024692609440535307,0.9080998368295176,79.09,-0.58,0.23705613613128662,0.01937859913032042,173.8,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,40,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2140067219734192,0.2961932038356151,78.71,53.92,0.0002514004008844495,0.9080677216429086,78.71,-0.57,0.2377805527597666,0.019974010210683055,172.28,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,50,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21490447223186493,0.29676528858863527,78.62,52.71,0.0002524550072848797,0.907795177542028,78.62,-0.55,0.23117342057824136,0.020616902363707206,181.97,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,60,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2108616977930069,0.30782515655626497,79.02,51.5,0.0002477057569194585,0.9082513412194593,79.02,-0.6,0.22405522590875626,0.02089609528730352,175.84,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,70,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21163539588451385,0.3130963118824487,78.95,49.86,0.00024861469864845276,0.9073104234234918,78.95,-0.52,0.22109616658091544,0.022004136338039285,173.34,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,80,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21334736049175262,0.30528275978618435,78.78,53.8,0.00025062583154067397,0.9077144412678622,78.78,-0.51,0.22027659229934216,0.022168793969342265,169.94,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,90,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21525120735168457,0.3143833709592443,78.59,51.23,0.00025286231539212167,0.9082779708362761,78.59,-0.57,0.21895033633708955,0.022986777459488034,175.04,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,101,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21818149089813232,0.3044414164210182,78.3,54.06,0.00025630457093939185,0.9089122683785501,78.3,-0.61,0.21920323269069195,0.02426101191223488,174.14,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,111,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21259397268295288,0.30571000596974046,78.85,53.7,0.0002497407840564847,0.9080502967394534,78.85,-0.53,0.21522042460739613,0.02471253744561192,175.46,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,121,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21652638912200928,0.31264420941339005,78.46,53.01,0.0002543603768572211,0.9086004662904001,78.46,-0.57,0.2182679780870676,0.02549115037953717,174.63,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
