timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
100,99,400,100,0.0001,1,8,1,1,99.61,99.42,99.12,0.0038481978699564934,0.005928012542426586,0.008833486586809158,99.61,99.42,99.12,0.00023047449940349907,0.0003550378023646772,0.0005290510598570108,0.0035076727159321307,0.0006882221091537855,95.91,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
200,0,400,100,0.0001,1,8,1,1,99.83,99.77,99.54,0.0016757919220253825,0.0023748870007693768,0.004539409652352333,99.83,99.77,99.54,0.00010036575986305252,0.00014223562902770936,0.00027187223895452917,0.07242050163447857,0.009376579559982971,102.86,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,5,400,100,0.0001,1,8,1,1,99.81,99.71,99.49,0.001849268563091755,0.002959504025056958,0.005036649294197559,99.81,99.71,99.49,0.00011075552902184427,0.00017724925419315696,0.00030165270436555147,0.04802589904516935,0.006557917494613814,104.5,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,10,400,100,0.0001,1,8,1,1,99.82,99.7,99.45,0.0017859445651993155,0.00309635023586452,0.005466543138027191,99.82,99.7,99.45,0.00010696294339140877,0.00018544514023233205,0.0003273996408097446,0.024024042319506406,0.003090446564686481,99.41,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,16,400,100,0.0001,1,8,1,1,99.84,99.72,99.47,0.0015961941098794341,0.0028421825263649225,0.005271587986499071,99.84,99.72,99.47,9.559851605445147e-05,0.00017022268730215728,0.00031572350417263806,0.006372522856108845,0.000587147928615531,113.17,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,21,400,100,0.0001,1,8,1,1,99.84,99.73,99.51,0.001549093285575509,0.002713796216994524,0.004900801461189985,99.84,99.73,99.51,9.277758363168687e-05,0.000162533440743573,0.0002935165539383888,0.0025605985289439558,0.00013350178692597594,102.0,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,26,400,100,0.0001,1,8,1,1,99.84,99.73,99.5,0.0015711027663201094,0.0027691295836120844,0.00495127122849226,99.84,99.73,99.5,9.409574704477564e-05,0.0001658474066061899,0.00029653924866579473,0.001975236189318821,9.133804492879115e-05,103.91,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,31,400,100,0.0001,1,8,1,1,99.84,99.75,99.52,0.001543090445920825,0.002586235059425235,0.0047691622748970985,99.84,99.75,99.52,9.241806401405483e-05,0.00015489358338527381,0.00028563247178681195,0.0016728291648905724,7.096460284676573e-05,102.35,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,36,400,100,0.0001,1,8,1,1,99.86,99.79,99.52,0.0013823817716911435,0.0021436100360006094,0.004759748000651598,99.86,99.79,99.52,8.279296162072569e-05,0.00012838408292736858,0.0002850686723832041,0.0013502639555372298,5.781786220231311e-05,98.77,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,42,400,100,0.0001,1,8,1,1,98.94,98.16,97.95,0.01053194236010313,0.019086411222815514,0.02086224965751171,98.94,98.16,97.95,0.0006307741859927773,0.0011431145248934627,0.001249472377821803,0.0016214875492732972,6.980475021073004e-05,98.31,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,47,400,100,0.0001,1,8,1,1,98.56,97.64,97.62,0.01436058059334755,0.02460063435137272,0.024253148585557938,98.56,97.64,97.62,0.0008600772707723081,0.0014733698917552829,0.0014525585575029254,0.0015871078555937856,7.061444663749635e-05,104.15,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,52,400,100,0.0001,1,8,1,1,98.57,97.63,97.62,0.014282504096627235,0.024638831615447998,0.024302715435624123,98.57,97.63,97.62,0.000855400925502181,0.0014756578020751476,0.0014555270317941904,0.001521981309633702,7.210246955903903e-05,106.97,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,57,400,100,0.0001,1,8,1,1,98.36,97.21,97.26,0.01642168127000332,0.029073920100927353,0.02803885191679001,98.36,97.21,97.26,0.0009835197124630213,0.0017412817105650902,0.0016792898532003164,0.0015241029288154096,7.744547912796979e-05,104.24,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,63,400,100,0.0001,1,8,1,1,98.16,96.85,96.93,0.018390147015452385,0.032988183200359344,0.03157324343919754,98.16,96.85,96.93,0.0011014144401997328,0.00197571306489408,0.001890969811938703,0.0015760956541635096,7.962292514521853e-05,99.21,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,68,400,100,0.0001,1,8,1,1,98.16,96.82,96.89,0.018453912809491158,0.033327728509902954,0.03196202591061592,98.16,96.82,96.89,0.0011052330955863,0.0019960482604801655,0.0019142550881952047,0.0015895460976753384,7.974719804036863e-05,99.59,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,73,400,100,0.0001,1,8,1,1,98.01,96.53,96.61,0.019957048818469048,0.036462388932704926,0.03499159589409828,98.01,96.53,96.61,0.0011952584609389305,0.002183788688853383,0.0020957007072865963,0.0015999380685389041,8.30257431701134e-05,98.66,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,78,400,100,0.0001,1,8,1,1,97.91,96.33,96.38,0.0209650881588459,0.03863847628235817,0.03745346516370773,97.91,96.33,96.38,0.001255631330423057,0.002314117271453142,0.0022431453689932823,0.001621523479698226,8.412677142885683e-05,95.6,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,83,400,100,0.0001,1,8,1,1,97.93,96.34,96.36,0.020845482125878334,0.03855495899915695,0.03764258325099945,97.93,96.34,96.36,0.0012484680628404021,0.002309116069227457,0.002254472579807043,0.0016437793395016342,8.552521367456252e-05,103.51,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,89,400,100,0.0001,1,8,1,1,97.95,96.38,96.38,0.020580075681209564,0.03814421221613884,0.037465400993824005,97.95,96.38,96.38,0.0012325725983828306,0.002284515416249633,0.0022438608575612307,0.0016666181839536875,8.727416555157891e-05,98.01,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,94,400,100,0.0001,1,8,1,1,98.01,96.47,96.47,0.02006709575653076,0.03721138834953308,0.036560092121362686,98.01,96.47,96.47,0.0012018491979688406,0.0022286472376435995,0.0021896404214203358,0.0016929381713271141,8.942788123100711e-05,100.04,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,99,400,100,0.0001,1,8,1,1,98.07,96.58,96.58,0.019412921741604805,0.03605097532272339,0.0354754775762558,98.07,96.58,96.58,0.0011626696214079857,0.002159148221835494,0.002124680671840906,0.001720184632577002,9.218934587188192e-05,96.58,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,110,400,100,0.0001,1,8,1,1,98.19,96.76,96.73,0.01826421171426773,0.03408291935920715,0.03377075493335724,98.19,96.76,96.73,0.0010938718914985657,0.00204127817414701,0.002022582571953535,0.0017655887291766702,0.00010372477930110115,95.95,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,120,400,100,0.0001,1,8,1,1,98.31,96.96,96.9,0.017011579126119614,0.031932152807712555,0.03194141387939453,98.31,96.96,96.9,0.0010188493179157376,0.0019124660175293684,0.00191302050370723,0.0018105975084472448,0.00011436561608109061,98.58,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,130,400,100,0.0001,1,8,1,1,98.45,97.19,97.08,0.015562443993985653,0.029456261545419693,0.03002571500837803,98.45,97.19,97.08,0.0009320587269030511,0.0017641809536144137,0.0017982861027121544,0.0018572227272670716,0.00012956839367680924,100.9,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,140,400,100,0.0001,1,8,1,1,98.55,97.36,97.21,0.014618095010519028,0.02775825560092926,0.02878488413989544,98.55,97.36,97.21,0.0008755003800615668,0.0016624847194179893,0.001723970752209425,0.0019280433026142418,0.00014491618850001075,100.64,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,150,400,100,0.0001,1,8,1,1,98.73,97.66,97.44,0.012825274839997292,0.024591883644461632,0.02635885961353779,98.73,97.66,97.44,0.0007681254064664245,0.0014728459063917398,0.001578672556206584,0.001999404039233923,0.00016851750887937595,98.24,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,159,400,100,0.0001,1,8,1,1,98.87,97.88,97.61,0.011392396874725819,0.022095734253525734,0.024541521444916725,98.87,97.88,97.61,0.0006823081057518721,0.0013233479112386703,0.001469829585403204,0.002030271338298917,0.0001789207736969133,101.74,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,169,400,100,0.0001,1,8,1,1,99.06,98.24,97.89,0.009389950893819332,0.018324894830584526,0.021618664264678955,99.06,98.24,97.89,0.0005623786710202694,0.0010975063778460026,0.0012947750510647893,0.002100146042648703,0.0002084354330029742,99.1,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,179,400,100,0.0001,1,8,1,1,99.29,98.68,98.24,0.00707675376906991,0.013673576526343822,0.017841249704360962,99.29,98.68,98.24,0.00042383765685372055,0.0008189315558411181,0.0010685400338843465,0.002234147498384118,0.0002503542359219764,100.59,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,189,400,100,0.0001,1,8,1,1,99.56,99.23,98.79,0.004402359947562218,0.007876208052039146,0.012162755243480206,99.56,99.23,98.79,0.000263664114754647,0.00047171820187941194,0.0007284461753442883,0.0024955874448642137,0.00038911570359842295,97.8,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
200,199,400,100,0.0001,1,8,1,1,99.6,99.4,99.1,0.003930420149117708,0.006128661334514618,0.008849277161061764,99.6,99.4,99.1,0.0002353988675167784,0.0003670549194794148,0.0005299968761391938,0.003561320872977376,0.000752547674285366,99.9,100,79200,2025_12_02-01_45_25,no,LSTM,stateless,cuda,StandardScaler
500,0,400,100,0.0001,1,8,1,1,99.86,99.8,99.6,0.0013526761904358864,0.002009068615734577,0.0039671785198152065,99.86,99.8,99.6,8.101385901682079e-05,0.00012032622180413455,0.00023760042677167803,0.02976301861926913,0.003277846507921453,116.1,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,5,400,100,0.0001,1,8,1,1,99.84,99.74,99.53,0.001551600405946374,0.0026430755387991667,0.004676924552768469,99.84,99.74,99.53,9.292773756897077e-05,0.00015829787298571318,0.0002801082155201584,0.0199727900698781,0.0022149722497950795,128.28,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,10,400,100,0.0001,1,8,1,1,99.84,99.71,99.47,0.0016329772770404816,0.00300028407946229,0.005271196831017733,99.84,99.71,99.47,9.78015159489587e-05,0.0001796916185412556,0.00031570004648528993,0.010375927197746932,0.00109307147991619,123.88,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,16,400,100,0.0001,1,8,1,1,99.85,99.74,99.51,0.001515176729299128,0.0026938426308333874,0.00486078392714262,99.85,99.74,99.51,9.074627450900152e-05,0.0001613383792573586,0.00029111982439644635,0.003369476005900651,0.0002398556552754041,120.1,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,21,400,100,0.0001,1,8,1,1,99.85,99.76,99.51,0.001467123394832015,0.002503942931070924,0.004914612043648958,99.85,99.76,99.51,8.78682840266265e-05,0.00014996499521657825,0.00029434365569613874,0.0018568984582088889,7.056815975384903e-05,120.92,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,26,400,100,0.0001,1,8,1,1,99.86,99.77,99.53,0.0014389209682121873,0.0023182237055152655,0.0047097280621528625,99.86,99.77,99.53,8.617919229436666e-05,0.00013884199142921716,0.00028207284049130976,0.0015666896395850926,5.897300666406894e-05,120.44,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,31,400,100,0.0001,1,8,1,1,99.85,99.79,99.58,0.0014536884846165776,0.0021494762040674686,0.004219618625938892,99.85,99.79,99.58,8.706364315003157e-05,0.0001287354389205575,0.00025271944468840957,0.0013419540727045388,3.876436184155651e-05,120.86,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,36,400,100,0.0001,1,8,1,1,99.78,99.63,99.21,0.002200020942837,0.003801391227170825,0.00797378271818161,99.78,99.63,99.21,0.00013176263018976897,0.00022767114569433033,0.00047756213461980224,0.001162142523098737,2.9112446444341522e-05,125.42,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
