N,m_star,m0 train,m_star train,ss train,bptt train,m0 test,m_star test,ss test,bptt test,impr m0 train,impr m0 test
100,83,2.29,1.122,1.101,0.107,3.527,1.093,1.183,0.176,-51,-69
200,110,0.971,0.309,1.057,0.107,1.462,0.307,1.186,0.176,-68,-79
500,130,0.442,0.186,0.716,0.107,0.538,0.228,0.932,0.176,-58,-58
1000,110,0.306,0.176,0.674,0.107,0.402,0.362,0.871,0.176,-42,-10
