N,m_star,m0 train,m_star train,ss train,bptt train,m0 test,m_star test,ss test,bptt test,impr m0 train,impr m0 test
100,94,0.242,0.042,0.059,0.003,0.291,0.142,0.222,0.251,-83,-51
200,94,0.05,0.03,0.048,0.003,0.14,0.135,0.221,0.251,-41,-4
500,94,0.03,0.019,0.051,0.003,0.121,0.122,0.185,0.251,-37,1
1000,94,0.026,0.012,0.032,0.003,0.117,0.112,0.146,0.251,-54,-4
